file name,X start,Y start,X end,Y end
"E_MENUDOT_(0,0).BMP.bmp",1651,678,1673,680
"E_MESSAGEBOX_BACKGROUND_(0,40).BMP.bmp",1920,412,2159,512
"E_MUSIC_A_B_MODE_(131,0).BMP.bmp",2824,298,2860,309
"E_MUSIC_A_B_MODE_BACK_(131,0).BMP.bmp",2824,309,2860,320
"E_MUSIC_A_MODE_(131,0).BMP.bmp",2824,320,2860,331
"E_MUSIC_BACKGROUND1_(0,0).BMP.bmp",960,170,1280,340
"E_MUSIC_BACKGROUND2_(0,0).BMP.bmp",2493,170,2652,270
"E_MUSIC_BACKGROUND_(0,0).BMP.bmp",1280,170,1600,340
"E_MUSIC_BATTERY01_(288,4).BMP.bmp",2861,230,2880,242
"E_MUSIC_BATTERY02_(288,4).BMP.bmp",2861,242,2880,254
"E_MUSIC_BATTERY03_(288,4).BMP.bmp",2861,254,2880,266
"E_MUSIC_BATTERY04_(288,4).BMP.bmp",2861,266,2880,278
"E_MUSIC_BATTERY05_(288,4).BMP.bmp",2861,278,2880,290
"E_MUSIC_BOTTOMA_(0,180).BMP.bmp",1756,575,1914,592
"E_MUSIC_BOTTOM_(0,180).BMP.bmp",1756,594,2016,611
"E_MUSIC_BPSBACKGROND_(2,95).BMP.bmp",2812,404,2817,409
"E_MUSIC_B_(0,0).BMP.bmp",2724,170,2861,297
"E_MUSIC_EQ_BAS_(165,0).BMP.bmp",2761,298,2782,312
"E_MUSIC_EQ_HEAVY_(165,0).BMP.bmp",2782,298,2803,312
"E_MUSIC_EQ_JAZ_(165,0).BMP.bmp",2803,298,2824,312
"E_MUSIC_EQ_MS_(165,0).BMP.bmp",2761,312,2782,326
"E_MUSIC_EQ_NOR_(165,0).BMP.bmp",2782,312,2803,326
"E_MUSIC_EQ_POP_(165,0).BMP.bmp",2803,312,2824,326
"E_MUSIC_EQ_RETRO_(165,0).BMP.bmp",2761,326,2782,339
"E_MUSIC_EQ_USE_(165,0).BMP.bmp",2782,326,2803,340
"E_MUSIC_ICON_(0,0).BMP.bmp",2684,357,2700,373
"E_MUSIC_LOOP_MODE02_(0,0).BMP.bmp",2700,393,2716,409
"E_MUSIC_LOOP_MODE03_(0,0).BMP.bmp",2716,393,2732,409
"E_MUSIC_LOOP_MODE04_(0,0).BMP.bmp",2732,393,2748,409
"E_MUSIC_LOOP_MODE05_(0,0).BMP.bmp",2748,393,2764,409
"E_MUSIC_LOOP_MODE06_(0,0).BMP.bmp",2764,393,2780,409
"E_MUSIC_LOOP_MODE07_(0,0).BMP.bmp",2783,402,2784,403
"E_MUSIC_ORDER_MODE03_(131,0).BMP.bmp",2700,409,2717,422
"E_MUSIC_ORDER_MODE04_(131,0).BMP.bmp",2717,409,2734,422
"E_MUSIC_PAUSE_STATE_(104,275).BMP.bmp",2734,409,2746,422
"E_MUSIC_PLAY_STATE_(104,275).BMP.bmp",2746,409,2756,422
"E_MUSIC_SLIDERBK_(44,205).BMP.bmp",2766,409,2776,419
"E_MUSIC_SLIDER_(44,205).BMP.bmp",2756,409,2766,419
"E_MUSIC_SMALLLOCK_(0,0).BMP.bmp",2776,409,2788,421
"E_MUSIC_SMALLLOCK_BACK_(0,0).BMP.bmp",2788,409,2800,421
"E_MYFAVO_(12,30).BMP.bmp",2695,425,2716,446
"E_MYFAVO_BLUE_(12,30).BMP.bmp",2716,425,2737,446
"E_MYFAVO_RED_(12,30).BMP.bmp",2737,425,2758,446
"E_MYLOVEBX_(12,30).BMP.bmp",2812,446,2825,458
"E_MYLOVEB_(12,30).BMP.bmp",2799,446,2812,458
"E_MYLOVEX_(12,30).BMP.bmp",2825,446,2838,457
"E_MYLOVE_(12,30).BMP.bmp",2786,446,2799,457
"E_NOSEL00_ICON_(0,0).BMP.bmp",2824,370,2861,386
"E_NOWPLAY_(12,30).BMP.bmp",2700,372,2721,393
"E_NOWPLAY_BLUE_(12,30).BMP.bmp",2721,372,2742,393
"E_NOWPLAY_RED_(12,30).BMP.bmp",2742,372,2763,393
"E_PLAY_SCROLLBLANK_(0,0).BMP.bmp",2840,413,2841,420
"E_PLAY_SCROLL_(0,0).BMP.bmp",2841,413,2842,420
"E_PONIT_NOSEL1_(0,0).BMP.bmp",2839,355,2854,370
"E_PONIT_NOSELBLUE_(0,0).BMP.bmp",2854,355,2869,370
"E_PONIT_NOSEL_(0,0).BMP.bmp",2824,355,2839,370
E_P_GREENC0_(0.0).BMP.bmp,0,674,12,693
E_P_GREENC1_(0.0).BMP.bmp,12,674,24,693
E_P_GREENC2_(0.0).BMP.bmp,24,674,36,693
E_P_GREENC3_(0.0).BMP.bmp,36,674,48,693
E_P_GREENC4_(0.0).BMP.bmp,48,674,60,693
E_P_GREENC5_(0.0).BMP.bmp,0,693,12,712
E_P_GREENC6_(0.0).BMP.bmp,12,693,24,712
E_P_GREENC7_(0.0).BMP.bmp,24,693,36,712
E_P_GREENC8_(0.0).BMP.bmp,36,693,48,712
E_P_GREENC9_(0.0).BMP.bmp,48,693,60,712
"E_RECORDER_RECORDING10_(74,78).BMP.bmp",1280,526,1600,588
"E_RECORDER_RECORDING11_(74,78).BMP.bmp",1280,588,1600,650
"E_RECORDER_RECORDING12_(74,78).BMP.bmp",1280,650,1600,712
"E_RECORDER_RECORDING1_(74,78).BMP.bmp",960,340,1280,402
"E_RECORDER_RECORDING2_(74,78).BMP.bmp",960,402,1280,464
"E_RECORDER_RECORDING3_(74,78).BMP.bmp",960,464,1280,526
"E_RECORDER_RECORDING4_(74,78).BMP.bmp",960,526,1280,588
"E_RECORDER_RECORDING5_(74,78).BMP.bmp",960,588,1280,650
"E_RECORDER_RECORDING6_(74,78).BMP.bmp",960,650,1280,712
"E_RECORDER_RECORDING7_(74,78).BMP.bmp",1280,340,1600,402
"E_RECORDER_RECORDING8_(74,78).BMP.bmp",1280,402,1600,464
"E_RECORDER_RECORDING9_(74,78).BMP.bmp",1280,464,1600,526
"E_SEL_ICON1_(0,0).BMP.bmp",1604,408,1733,432
"E_SEL_ICON2_(0,0).BMP.bmp",1604,434,1733,458
"E_SEL_ICON3_(0,0).BMP.bmp",1604,460,1733,484
"E_SEL_ICON4_(0,0).BMP.bmp",1604,486,1784,510
"E_SEL_ICON5_(0,0).BMP.bmp",1604,512,1784,536
"E_SEL_ICON6_(0,0).BMP.bmp",1604,538,1784,562
"E_SEL_ICONPART0A_(28,0).BMP.bmp",1706,613,1826,627
"E_SEL_ICONPART0B_(28,0).BMP.bmp",1706,629,1802,643
"E_SEL_ICONPART0C_(28,0).BMP.bmp",1706,645,1801,659
"E_SEL_ICONPART0_(28,0).BMP.bmp",1604,613,1704,653
"E_SEL_ICONPART_(48,0).BMP.bmp",1604,564,1754,611
"E_SEL_ICON_(0,0).BMP.bmp",1604,382,1733,406
"E_SETMENU_USEREQSETTING_(0,0).BMP.bmp",2880,0,3200,170
"E_SETMENU_USERNOSEL01_(38,37).BMP.bmp",2880,170,2904,297
"E_SETMENU_USERNOSEL02_(38,37).BMP.bmp",2928,181,2952,192
"E_SETMENU_USERSEL01_(38,37).BMP.bmp",2904,170,2928,297
"E_SETMENU_USERSEL02_(38,37).BMP.bmp",2928,170,2952,181
"E_SINGER_(12,30).BMP.bmp",2758,426,2778,446
"E_SINGER_BLUE_(12,30).BMP.bmp",2778,426,2798,446
"E_SINGER_RED_(12,30).BMP.bmp",2798,426,2818,446
"E_SM_COM_VOLUME_000_(0,0).BMP.bmp",0,170,320,340
"E_SM_COM_VOLUME_001_(0,0).BMP.bmp",0,340,320,403
"E_SM_COM_VOLUME_002_(0,0).BMP.bmp",0,403,320,466
"E_SM_COM_VOLUME_003_(0,0).BMP.bmp",0,466,320,529
"E_SM_COM_VOLUME_004_(0,0).BMP.bmp",0,529,320,592
"E_SM_COM_VOLUME_005_(0,0).BMP.bmp",0,592,320,655
"E_SM_COM_VOLUME_006_(0,0).BMP.bmp",61,676,63,685
"E_SM_COM_VOLUME_007_(0,0).BMP.bmp",64,679,66,685
"E_SM_COM_VOLUME_008_(0,0).BMP.bmp",0,655,110,674
"E_SM_COM_VOLUME_009_(0,0).BMP.bmp",2099,170,2254,261
"E_TIME_BACK_BOXE_(0,0).BMP.bmp",1660,340,1700,380
"E_TIME_BACK_BOX_(0,0).BMP.bmp",1600,170,1920,340
"E_TIME_NUM1_00_(0,0).BMP.bmp",1610,340,1620,356
"E_TIME_NUM1_01_(0,0).BMP.bmp",1620,340,1630,356
"E_TIME_NUM1_02_(0,0).BMP.bmp",1630,340,1640,356
"E_TIME_NUM1_03_(0,0).BMP.bmp",1640,340,1650,356
"E_TIME_NUM1_04_(0,0).BMP.bmp",1650,340,1660,356
"E_TIME_NUM1_05_(0,0).BMP.bmp",1610,356,1620,372
"E_TIME_NUM1_06_(0,0).BMP.bmp",1620,356,1630,372
"E_TIME_NUM1_07_(0,0).BMP.bmp",1630,356,1640,372
"E_TIME_NUM1_08_(0,0).BMP.bmp",1640,356,1650,372
"E_TIME_NUM1_09_(0,0).BMP.bmp",1650,356,1660,372
"E_TIME_NUM1_10_(0,0).BMP.bmp",1600,340,1610,356
"E_TIME_NUM1_11_(0,0).BMP.bmp",1600,356,1610,372
"E_TIME_NUM3_00_(0,0).BMP.bmp",2824,331,2833,343
"E_TIME_NUM3_01_(0,0).BMP.bmp",2833,331,2842,343
"E_TIME_NUM3_02_(0,0).BMP.bmp",2842,331,2851,343
"E_TIME_NUM3_03_(0,0).BMP.bmp",2851,331,2860,343
"E_TIME_NUM3_04_(0,0).BMP.bmp",2860,331,2869,343
"E_TIME_NUM3_05_(0,0).BMP.bmp",2824,343,2833,355
"E_TIME_NUM3_06_(0,0).BMP.bmp",2833,343,2842,355
"E_TIME_NUM3_07_(0,0).BMP.bmp",2842,343,2851,355
"E_TIME_NUM3_08_(0,0).BMP.bmp",2851,343,2860,355
"E_TIME_NUM3_09_(0,0).BMP.bmp",2860,343,2869,355
"E_TIME_NUM3_10_(0,0).BMP.bmp",2869,346,2873,355
"E_USB_BACKGROUND_(0,0).BMP.bmp",1920,0,2240,170
"E_USB_DACSHOW1_(0,0).BMP.bmp",640,340,960,402
"E_USB_DACSHOW2_(0,0).BMP.bmp",640,402,960,464
"E_USB_DACSHOW3_(0,0).BMP.bmp",640,464,960,526
"E_USB_DACSHOW4_(0,0).BMP.bmp",640,526,960,588
"E_USB_DACSHOW5_(0,0).BMP.bmp",640,588,960,650
"E_USB_DAC_(0,0).BMP.bmp",2240,0,2560,170
"E_USB_DATA_(0,0).BMP.bmp",2560,0,2880,170
"E_USB_PLAYER1_(0,0).BMP.bmp",320,340,640,402
"E_USB_PLAYER2_(0,0).BMP.bmp",320,402,640,464
"E_USB_PLAYER3_(0,0).BMP.bmp",320,464,640,526
"E_USB_PLAYER4_(0,0).BMP.bmp",320,526,640,588
"E_USB_PLAYER_(0,0).BMP.bmp",320,170,640,340
"E_WARNING_BOX_(0,40).BMP.bmp",2254,170,2493,270
